"Tabela 9605 - População residente, por cor ou raça, nos Censos Demográficos"
"Variável - População residente"
"Nível","Cód.","Município","Ano x Cor ou raça"
"Nível","Cód.","Município","2022"
"Nível","Cód.","Município","Branca",,"Preta",,"Amarela",,"Parda",,"Indígena"
"MU","1400027","Amajari (RR)","978","Pessoas","519","Pessoas","13","Pessoas","3293","Pessoas","9124","Pessoas"
"MU","1400050","Alto Alegre (RR)","1607","Pessoas","698","Pessoas","5","Pessoas","6479","Pessoas","12307","Pessoas"
"MU","1400100","Boa Vista (RR)","102242","Pessoas","35139","Pessoas","606","Pessoas","256902","Pessoas","18228","Pessoas"
"MU","1400159","Bonfim (RR)","1008","Pessoas","534","Pessoas","6","Pessoas","6341","Pessoas","6034","Pessoas"
"MU","1400175","Cantá (RR)","2504","Pessoas","1145","Pessoas","5","Pessoas","10536","Pessoas","4492","Pessoas"
"MU","1400209","Caracaraí (RR)","3380","Pessoas","1782","Pessoas","51","Pessoas","14507","Pessoas","1237","Pessoas"
"MU","1400233","Caroebe (RR)","2424","Pessoas","1057","Pessoas","2","Pessoas","6363","Pessoas","810","Pessoas"
"MU","1400282","Iracema (RR)","1388","Pessoas","989","Pessoas","10","Pessoas","5902","Pessoas","1734","Pessoas"
"MU","1400308","Mucajaí (RR)","3166","Pessoas","1300","Pessoas","7","Pessoas","12888","Pessoas","734","Pessoas"
"MU","1400407","Normandia (RR)","415","Pessoas","135","Pessoas","2","Pessoas","2788","Pessoas","10646","Pessoas"
"MU","1400456","Pacaraima (RR)","2655","Pessoas","902","Pessoas","7","Pessoas","4871","Pessoas","10147","Pessoas"
"MU","1400472","Rorainópolis (RR)","5988","Pessoas","3015","Pessoas","50","Pessoas","22762","Pessoas","832","Pessoas"
"MU","1400506","São João da Baliza (RR)","1855","Pessoas","1030","Pessoas","5","Pessoas","5429","Pessoas","539","Pessoas"
"MU","1400605","São Luiz (RR)","1514","Pessoas","899","Pessoas","12","Pessoas","4860","Pessoas","30","Pessoas"
