"Tabela 4712 - Domicílios particulares permanentes ocupados, Moradores em domicílios particulares permanentes ocupados e Média de moradores em domicílios particulares permanentes ocupados"
"Variável - Domicílios particulares permanentes ocupados"
"Nível","Cód.","Município","Ano"
"Nível","Cód.","Município","2022"
"MU","1703602","Brasilândia do Tocantins (TO)","689","Domicílios"
"MU","1703701","Brejinho de Nazaré (TO)","1709","Domicílios"
"MU","1703800","Buriti do Tocantins (TO)","2851","Domicílios"
"MU","1703826","Cachoeirinha (TO)","638","Domicílios"
"MU","1703842","Campos Lindos (TO)","2419","Domicílios"
"MU","1703867","Cariri do Tocantins (TO)","1280","Domicílios"
"MU","1703883","Carmolândia (TO)","747","Domicílios"
"MU","1703891","Carrasco Bonito (TO)","1012","Domicílios"
"MU","1703909","Caseara (TO)","1629","Domicílios"
"MU","1704105","Centenário (TO)","772","Domicílios"
"MU","1704600","Chapada de Areia (TO)","563","Domicílios"
"MU","1705102","Chapada da Natividade (TO)","1028","Domicílios"
"MU","1705508","Colinas do Tocantins (TO)","11817","Domicílios"
"MU","1705557","Combinado (TO)","1741","Domicílios"
"MU","1705607","Conceição do Tocantins (TO)","1295","Domicílios"
"MU","1706001","Couto Magalhães (TO)","1845","Domicílios"
"MU","1706100","Cristalândia (TO)","2346","Domicílios"
"MU","1706258","Crixás do Tocantins (TO)","508","Domicílios"
"MU","1706506","Darcinópolis (TO)","1990","Domicílios"
"MU","1707009","Dianópolis (TO)","5817","Domicílios"
"MU","1707108","Divinópolis do Tocantins (TO)","2533","Domicílios"
"MU","1707207","Dois Irmãos do Tocantins (TO)","2290","Domicílios"
"MU","1707306","Dueré (TO)","1626","Domicílios"
"MU","1707405","Esperantina (TO)","2317","Domicílios"
"MU","1707553","Fátima (TO)","1194","Domicílios"
"MU","1707652","Figueirópolis (TO)","1948","Domicílios"
"MU","1707702","Filadélfia (TO)","2556","Domicílios"
"MU","1708205","Formoso do Araguaia (TO)","6457","Domicílios"
"MU","1708254","Tabocão (TO)","1145","Domicílios"
"MU","1708304","Goianorte (TO)","1691","Domicílios"
